epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1433,2.26263,4.592,1.98244,0.00333,1,0.02089,0.01106,1.21383,3.7285,1.32255,0.0775,0.0025,0.0025
2,27.9763,2.12929,4.47889,1.97107,0.00333,1,0.02089,0.01106,1.21383,3.7285,1.32255,0.0539317,0.0049317,0.0049317
3,42.0536,1.7149,3.91945,1.60386,0.00333,1,0.01353,0.00902,0.70441,3.31061,1.01537,0.0301918,0.0071918,0.0071918
4,55.8594,1.39281,4.03933,1.43335,0.00333,1,0.01353,0.00902,0.70441,3.31061,1.01537,0.00901,0.00901,0.00901
5,69.801,1.65384,4.21303,1.69545,0.00333,1,0.18915,0.09195,0.7995,3.19506,0.98141,0.00868,0.00868,0.00868
6,83.699,1.12691,3.96581,1.23823,0.00333,1,0.18915,0.09195,0.7995,3.19506,0.98141,0.00835,0.00835,0.00835
7,97.551,1.00115,3.6675,1.13318,0.00333,1,0.18915,0.09195,0.7995,3.19506,0.98141,0.00802,0.00802,0.00802
8,111.474,0.89515,3.80249,1.00378,0.00333,1,0.31804,0.11687,0.52314,3.13931,0.91484,0.00769,0.00769,0.00769
9,125.331,1.02685,3.5989,1.15529,0.00333,1,0.31804,0.11687,0.52314,3.13931,0.91484,0.00736,0.00736,0.00736
10,139.241,0.8547,3.4974,1.10199,0.00333,1,0.68092,0.28801,0.57439,3.12154,0.91355,0.00703,0.00703,0.00703
11,153.123,0.8805,3.25419,1.02627,0.00333,1,0.68092,0.28801,0.57439,3.12154,0.91355,0.0067,0.0067,0.0067
12,166.939,0.72317,3.72436,0.93255,0.00333,1,0.68092,0.28801,0.57439,3.12154,0.91355,0.00637,0.00637,0.00637
13,181.037,0.81261,3.35529,1.00049,0.00642,1,0.86167,0.59484,0.55338,2.53527,0.91105,0.00604,0.00604,0.00604
14,194.853,0.80411,3.15965,0.96652,0.00642,1,0.86167,0.59484,0.55338,2.53527,0.91105,0.00571,0.00571,0.00571
15,208.781,0.70319,3.35514,0.95449,0.59839,1,0.795,0.68555,0.52561,2.33291,0.85269,0.00538,0.00538,0.00538
16,222.684,0.71654,2.978,0.96177,0.59839,1,0.795,0.68555,0.52561,2.33291,0.85269,0.00505,0.00505,0.00505
17,237.279,0.55869,2.75314,0.87425,0.59839,1,0.795,0.68555,0.52561,2.33291,0.85269,0.00472,0.00472,0.00472
18,252.04,0.61735,2.5762,0.87586,0.62035,0.98265,0.78667,0.60678,0.57178,1.86884,0.8833,0.00439,0.00439,0.00439
19,266.882,0.57625,2.98023,0.84587,0.62035,0.98265,0.78667,0.60678,0.57178,1.86884,0.8833,0.00406,0.00406,0.00406
20,281.844,0.60723,2.85124,0.92981,0.71177,0.98942,0.82357,0.63333,0.65098,1.71786,0.99534,0.00373,0.00373,0.00373
21,296.666,0.71844,2.69668,0.94648,0.71177,0.98942,0.82357,0.63333,0.65098,1.71786,0.99534,0.0034,0.0034,0.0034
22,311.492,0.60865,2.21893,0.87592,0.67941,1,0.81786,0.62356,0.51014,2.17323,0.8267,0.00307,0.00307,0.00307
23,326.172,0.62039,2.22311,0.937,0.67941,1,0.81786,0.62356,0.51014,2.17323,0.8267,0.00274,0.00274,0.00274
24,340.931,0.60922,2.57506,0.9022,0.67941,1,0.81786,0.62356,0.51014,2.17323,0.8267,0.00241,0.00241,0.00241
25,355.921,0.58983,1.84874,0.92736,0.8087,1,0.895,0.77535,0.47486,1.8768,0.8148,0.00208,0.00208,0.00208
26,370.679,0.71288,2.05634,0.99747,0.8087,1,0.895,0.77535,0.47486,1.8768,0.8148,0.00175,0.00175,0.00175
27,385.472,0.64846,2.08549,0.90578,0.82573,0.9544,0.96167,0.82868,0.46392,1.81682,0.78942,0.00142,0.00142,0.00142
28,400.165,0.54225,1.93111,0.90043,0.82573,0.9544,0.96167,0.82868,0.46392,1.81682,0.78942,0.00109,0.00109,0.00109
29,414.992,0.60832,1.9836,0.96055,0.82573,0.9544,0.96167,0.82868,0.46392,1.81682,0.78942,0.00076,0.00076,0.00076
30,429.75,0.53897,1.96711,0.90409,0.81585,1,0.96167,0.86699,0.4078,1.5498,0.76507,0.00043,0.00043,0.00043
